git_sha,git_message,file_name,size_bytes
0ec37b2178096ae38e13266375724617fe57f9a9,master,HEAD,
,,engine.exe,19968
c90d71a2a0980d200419e38818fec8650d667aff,master,BRANCH,
,,engine.exe,19968
e71f3732466622f12342bc3fcbf8f48d3dcec6a5,master,BRANCH,
,,engine.exe,19968
3876a4cccdd02a2b4d7a3952de7cc4e37396f960,003-add-size-reports,BRANCH,
,,engine.exe,19968
